betId,date,gameId,game,ticker,eventTicker,marketFamily,market,period,side,line,subjectType,subjectName,source,entryTimestamp,modelVersion,joinMethod,entryPricePct,entryAmerican,entryBidPct,entryAskPct,entryMidPct,closingAskPct,closingMidPct,closingAmerican,closingTimestamp,clvAskPct,clvMidPct,clvCaptureStatus,closingLineUnavailableReason,modelProbPct,marketImpliedPctAtEntry,projectedEdgePct,expectedProfitPerDollar,confidenceTier,recommendationStatus,modelSupportStatus,stake,result,grossReturn,netProfit,roiPct,lineupConfirmationStatus,awayPitcher,homePitcher,bullpenState,park,weather,umpire,favoriteOrUnderdog,horizon,manualAnalysisNotes,reasonCodes,exactContractMetadata,dataQualityStatus,dataQualityFlags,trackingType,countsTowardBankroll,hypotheticalStake,hypotheticalNetProfit,hypotheticalRoiPct,realMoneyBlockReasons
PAPER:2026-08-02:KXMLBF3-26AUG021335PHIBAL-PHI,2026-08-02,824807,PHI @ BAL,KXMLBF3-26AUG021335PHIBAL-PHI,,inning_result,,F3,Away,,,Away,PAPER_SPREAD_LEDGER,,,exact_ticker,43.0,,,43.0,42.0,,,,,,,,,60.435,43.0,17.435,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F3,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 19}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-02:KXMLBF3-26AUG021335WSHATL-WSH,2026-08-02,824891,WSH @ ATL,KXMLBF3-26AUG021335WSHATL-WSH,,inning_result,,F3,Away,,,Away,PAPER_SPREAD_LEDGER,,,exact_ticker,39.0,,,39.0,38.5,,,,,,,,,73.945,39.0,34.945,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F3,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 1}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-02:KXMLBF3-26AUG021337STLTOR-STL,2026-08-02,822783,STL @ TOR,KXMLBF3-26AUG021337STLTOR-STL,,inning_result,,F3,Away,,,Away,PAPER_SPREAD_LEDGER,,,exact_ticker,40.0,,,40.0,39.0,,,,,,,,,55.965,40.0,15.965,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F3,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 29}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-02:KXMLBF3-26AUG021337STLTOR-TIE,2026-08-02,822783,STL @ TOR,KXMLBF3-26AUG021337STLTOR-TIE,,inning_result,,F3,Tie,,,Tie,PAPER_SPREAD_LEDGER,,,exact_ticker,22.0,,,22.0,21.0,,,,,,,,,23.647,22.0,1.647,,MEDIUM,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F3,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 200}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-02:KXMLBF3-26AUG021337STLTOR-TOR,2026-08-02,822783,STL @ TOR,KXMLBF3-26AUG021337STLTOR-TOR,,inning_result,,F3,Home,,,Home,PAPER_SPREAD_LEDGER,,,exact_ticker,39.0,,,39.0,38.5,,,,,,,,,44.035,39.0,5.035,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F3,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 142}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-02:KXMLBF3-26AUG021340AZCLE-AZ,2026-08-02,824404,AZ @ CLE,KXMLBF3-26AUG021340AZCLE-AZ,,inning_result,,F3,Away,,,Away,PAPER_SPREAD_LEDGER,,,exact_ticker,30.0,,,30.0,29.5,,,,,,,,,34.568,30.0,4.568,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F3,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 152}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-02:KXMLBF3-26AUG021340AZCLE-CLE,2026-08-02,824404,AZ @ CLE,KXMLBF3-26AUG021340AZCLE-CLE,,inning_result,,F3,Home,,,Home,PAPER_SPREAD_LEDGER,,,exact_ticker,45.0,,,45.0,44.5,,,,,,,,,65.432,45.0,20.432,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F3,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 11}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-02:KXMLBF3-26AUG021340CWSTB-CWS,2026-08-02,822943,CWS @ TB,KXMLBF3-26AUG021340CWSTB-CWS,,inning_result,,F3,Away,,,Away,PAPER_SPREAD_LEDGER,,,exact_ticker,32.0,,,32.0,31.0,,,,,,,,,51.046,32.0,19.046,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F3,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 14}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-02:KXMLBF3-26AUG021340CWSTB-TB,2026-08-02,822943,CWS @ TB,KXMLBF3-26AUG021340CWSTB-TB,,inning_result,,F3,Home,,,Home,PAPER_SPREAD_LEDGER,,,exact_ticker,41.0,,,41.0,40.5,,,,,,,,,48.954,41.0,7.954,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F3,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 93}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-02:KXMLBF3-26AUG021340PITCIN-CIN,2026-08-02,824483,PIT @ CIN,KXMLBF3-26AUG021340PITCIN-CIN,,inning_result,,F3,Home,,,Home,PAPER_SPREAD_LEDGER,,,exact_ticker,46.0,,,46.0,45.5,,,,,,,,,54.658,46.0,8.658,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F3,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 84}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
