earlyPoint,latePoint,side,contracts,independentGames,meanEarlyMinusLateCents,medianEarlyMinusLateCents,ci95LowCents,ci95HighCents,earlyCheaperCount,lateCheaperCount,tiedCount,earlyCheaperPct,signTestP,signConvention,marketFamily,population,bhSignificantAtFdr05
EARLY_12H_PLUS,CLOSING,YES,2225,338,1.378,1.0,1.1934,1.5562,291,1392,542,13.08,2.2597274085750054e-158,positive = early price HIGHER = waiting was cheaper,inning_total,settled_game_markets,True
EARLY_12H_PLUS,CLOSING,YES,4746,346,1.906,2.0,1.7574,2.0585,420,3508,818,8.85,0.0,positive = early price HIGHER = waiting was cheaper,team_total,settled_game_markets,True
EARLY_12H_PLUS,CLOSING,YES,3410,346,0.4921,0.0,0.4266,0.5613,720,1588,1102,21.11,8.353370737116651e-73,positive = early price HIGHER = waiting was cheaper,winning_margin,settled_game_markets,True
EARLY_12H_PLUS,CLOSING,YES,2074,215,0.6808,0.0,0.5592,0.8027,226,979,869,10.9,4.555599580141256e-104,positive = early price HIGHER = waiting was cheaper,hitter_hits,settled_player_props,True
EARLY_12H_PLUS,CLOSING,YES,3126,209,0.9456,1.0,0.7868,1.1158,421,1762,943,13.47,6.792405660753854e-181,positive = early price HIGHER = waiting was cheaper,hitter_hits_runs_rbis,settled_player_props,True
EARLY_12H_PLUS,CLOSING,YES,1456,207,1.0234,1.0,0.8576,1.1934,167,855,434,11.47,1.9416916985371534e-102,positive = early price HIGHER = waiting was cheaper,hitter_rbis,settled_player_props,True
EARLY_12H_PLUS,CLOSING,YES,39,19,0.3333,0.0,-0.05,0.7097,7,14,18,17.95,0.18924713134765625,positive = early price HIGHER = waiting was cheaper,hitter_stolen_bases,settled_player_props,False
EARLY_12H_PLUS,CLOSING,YES,2956,221,0.6566,0.0,0.534,0.7892,472,1457,1027,15.97,3.583581548984631e-111,positive = early price HIGHER = waiting was cheaper,hitter_total_bases,settled_player_props,True
EARLY_12H_PLUS,CLOSING,YES,461,255,1.9089,2.0,1.5216,2.286,105,295,61,22.78,5.4366274537832925e-22,positive = early price HIGHER = waiting was cheaper,pitcher_outs,settled_player_props,True
EARLY_12H_PLUS,CLOSING,YES,3510,262,0.81,1.0,0.5705,1.0297,901,1796,813,25.67,2.0635313392844237e-66,positive = early price HIGHER = waiting was cheaper,pitcher_strikeouts,settled_player_props,True
EARLY_12H_PLUS,CLOSING,NO,366,366,-0.0874,0.0,-0.2978,0.1202,146,124,96,39.89,0.2011549927673073,positive = early price HIGHER = waiting was cheaper,first_inning_run,settled_game_markets,False
EARLY_12H_PLUS,CLOSING,NO,732,366,0.0478,0.0,0.0164,0.0779,241,264,227,32.92,0.3275898565216809,positive = early price HIGHER = waiting was cheaper,game_result,settled_game_markets,False
EARLY_12H_PLUS,CLOSING,NO,3795,346,-0.3671,0.0,-0.5494,-0.1775,1490,1231,1074,39.26,7.574809838520969e-07,positive = early price HIGHER = waiting was cheaper,game_total,settled_game_markets,True
EARLY_12H_PLUS,CLOSING,NO,2910,340,0.9364,1.0,0.8598,1.0193,500,1596,814,17.18,2.0069519446704624e-126,positive = early price HIGHER = waiting was cheaper,inning_result,settled_game_markets,True
EARLY_12H_PLUS,CLOSING,NO,2225,338,0.289,0.0,0.108,0.4935,787,812,626,35.37,0.5483812247049216,positive = early price HIGHER = waiting was cheaper,inning_total,settled_game_markets,False
EARLY_12H_PLUS,CLOSING,NO,4746,346,0.1049,0.0,-0.0342,0.2446,1667,1871,1208,35.12,0.0006428745950339402,positive = early price HIGHER = waiting was cheaper,team_total,settled_game_markets,True
EARLY_12H_PLUS,CLOSING,NO,3410,346,0.2062,0.0,0.1469,0.2637,962,1213,1235,28.21,8.296313721036613e-08,positive = early price HIGHER = waiting was cheaper,winning_margin,settled_game_markets,True
EARLY_12H_PLUS,CLOSING,NO,2074,215,0.189,0.0,0.0846,0.3041,452,605,1017,21.79,2.935764048487277e-06,positive = early price HIGHER = waiting was cheaper,hitter_hits,settled_player_props,True
EARLY_12H_PLUS,CLOSING,NO,3126,209,0.4299,0.0,0.249,0.6152,791,1134,1201,25.3,6.445775535039349e-15,positive = early price HIGHER = waiting was cheaper,hitter_hits_runs_rbis,settled_player_props,True
EARLY_12H_PLUS,CLOSING,NO,1456,207,0.8846,0.0,0.6913,1.0786,280,701,475,19.23,5.31475093811334e-41,positive = early price HIGHER = waiting was cheaper,hitter_rbis,settled_player_props,True
EARLY_12H_PLUS,CLOSING,NO,39,19,2.0,2.0,1.2273,3.0256,0,22,17,0.0,4.76837158203125e-07,positive = early price HIGHER = waiting was cheaper,hitter_stolen_bases,settled_player_props,True
EARLY_12H_PLUS,CLOSING,NO,2956,221,0.4347,0.0,0.2892,0.5862,645,1082,1229,21.82,9.444973343049802e-26,positive = early price HIGHER = waiting was cheaper,hitter_total_bases,settled_player_props,True
EARLY_12H_PLUS,CLOSING,NO,461,255,1.2256,1.0,0.8365,1.6274,128,255,78,27.77,8.176934102567291e-11,positive = early price HIGHER = waiting was cheaper,pitcher_outs,settled_player_props,True
EARLY_12H_PLUS,CLOSING,NO,3510,262,0.7538,0.0,0.5161,1.0201,1020,1656,834,29.06,1.2299729419988544e-34,positive = early price HIGHER = waiting was cheaper,pitcher_strikeouts,settled_player_props,True
