
======================================================================
EXECUTION SLIP — 2026-07-07
======================================================================

=== REAL-MONEY BETS (1) ===
  NYY@TB | ML_Away | ML_Away
    Ticker:    KXMLBGAME-26JUL071840NYYTB-NYY
    Model%:    51.8% | Exec Price: 45.45¢ | Raw Edge: +6.35% | Cal Edge: +1.62%
    Tier:      MEDIUM | Stake: $3.0
    MaxBet:    45.45¢ or better
    Codes:     MARKET_REAL_MONEY_ELIGIBLE, EXECUTABLE_EDGE_ABOVE_THRESHOLD, RAW_EDGE_STRONG, LINEUP_CONFIRMED_OFFICIAL, LINEUP_ADJ_APPLIED
    Snapshot:  unknown


=== PRICE-MOVED PASSES (0) ===
  (none)

=== PAPER-ONLY (76) ===
  HOU@WSH | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=10 >= 8.0
  HOU@WSH | F5_ML_Away | Raw Edge: — | Rule71-F5: model 23.9% vs KalshiF5VF 44.4% = 20.6% > 12%
  HOU@WSH | F5_ML_Home | Raw Edge: — | Rule71-F5: model 76.1% vs KalshiF5VF 55.6% = 20.6% > 12%
  HOU@WSH | TT_Away_Over | Raw Edge: -26.15% | edge -6.669% below 1.0% floor
  HOU@WSH | TT_Home_Over | Raw Edge: -3.06% | edge -0.781% below 1.0% floor
  HOU@WSH | ML_Away | Raw Edge: -15.95% | Rule71: model 31.4% vs PinVF 47.5% = 16.0% gap > 8%
  HOU@WSH | ML_Home | Raw Edge: +15.95% | Rule71: model 68.6% vs PinVF 52.5% = 16.0% gap > 8%
  KC@NYM | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  KC@NYM | F5_ML_Away | Raw Edge: — | Rule71-F5: model 23.6% vs KalshiF5VF 43.8% = 20.2% > 12%
  KC@NYM | F5_ML_Home | Raw Edge: — | Rule 24: home pitcher is opener (avgIP=1.0) — F5 UNQUALIFIED
  KC@NYM | TT_Away_Over | Raw Edge: -16.91% | edge -4.313% below 1.0% floor
  KC@NYM | TT_Home_Over | Raw Edge: -19.73% | edge -5.032% below 1.0% floor
  KC@NYM | ML_Away | Raw Edge: +3.16% | edge 0.806% below 1.0% floor
  KC@NYM | ML_Home | Raw Edge: -3.16% | edge -0.806% below 1.0% floor
  PHI@CIN | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  PHI@CIN | F5_ML_Away | Raw Edge: — | Rule71-F5: model 75.7% vs KalshiF5VF 60.6% = 15.1% > 12%
  PHI@CIN | F5_ML_Home | Raw Edge: — | Rule71-F5: model 24.3% vs KalshiF5VF 39.4% = 15.1% > 12%
  PHI@CIN | TT_Away_Over | Raw Edge: -10.95% | edge -2.793% below 1.0% floor
  PHI@CIN | TT_Home_Over | Raw Edge: -29.15% | edge -7.433% below 1.0% floor
  PHI@CIN | ML_Away | Raw Edge: +10.46% | Rule71: model 72.0% vs PinVF 60.3% = 11.7% gap > 8%
  PHI@CIN | ML_Home | Raw Edge: -17.93% | Rule71: model 20.5% vs PinVF 39.7% = 19.1% gap > 8%
  CLE@MIN | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  CLE@MIN | F5_ML_Away | Raw Edge: — | edge -0.659% below threshold
  CLE@MIN | F5_ML_Home | Raw Edge: — | edge 0.659% below threshold
  CLE@MIN | TT_Away_Over | Raw Edge: -19.75% | edge -5.036% below 1.0% floor
  CLE@MIN | TT_Home_Over | Raw Edge: -14.70% | edge -3.747% below 1.0% floor
  CLE@MIN | ML_Away | Raw Edge: -5.83% | edge -1.488% below 1.0% floor
  BOS@CWS | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  BOS@CWS | F5_ML_Home | Raw Edge: — | edge -1.116% below threshold
  BOS@CWS | TT_Away_Over | Raw Edge: -15.79% | edge -4.027% below 1.0% floor
  BOS@CWS | TT_Home_Over | Raw Edge: -17.45% | edge -4.449% below 1.0% floor
  BOS@CWS | ML_Home | Raw Edge: -5.76% | edge -1.469% below 1.0% floor
  LAA@TEX | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=8 >= 8.0
